배치번호,설비호기,교대조,소성온도,소성시간,입도,수분율,불순물,성형압력,방전용량,양품여부
B00607, B,day,876.1,120,9.71,,877,24.7,177.7,1
B00256,D,day,779.5,120,10.31,1.06,866,24.5,155.3,0
B01304,C,night,909.8,105,8.45,1.51,"1,005",24.9,177.3,1
B01237, B,night,852.4,90,8.64,1.85,690,24.1,171.9,1
B00925,D,day,893.8,105,9.83,0.9,229,23.2,181.2,1
B00475,E,night,778.9,105,12.64,0.64,"1,504",23.6,155.6,0
B00204,A,day,854.8,105,17.38,0.97,867,20.4,175.0,1
B00955,B,day,853.7,120,11.85,1.08,328,24.9,176.6,1
B00524, E,day,878.8,90,8.5,1.32,723,24.6,179.0,1
B00953,D,night,896.7,105,16.73,0.69,"1,298",24.4,171.9,1
B00726,D,night,858.8,105,9.97,1.59,899,24.8,176.5,1
B00034,F,day,838.8,135,11.15,0.69,511,26.7,180.0,1
B00759,C,day,823.3,135,11.65,1.16,852,22.4,168.0,0
B00083, D,night,829.3,105,10.62,0.93,880,21.5,176.1,1
B00171,B,night,816.9,105,10.47,-,638,23.3,165.9,0
B00653,D,night,834.7,120,13.35,0.68,397,25.2,175.5,1
B00194,F,day,917.1,105,8.8,1.24,776,25.1,176.5,1
B00281,E ,night,883.3,105,11.48,1.11,445,26.5,179.5,1
B00833,f,day,865.1,120,12.84,1.49,248,24.9,172.4,1
B01249,D,day,827.4,135,13.13,0.84,"1,292",22.8,170.0,1
B00326,C,night,808.8,150,11.98,1.26,587,20.3,165.6,0
B00734,D,night,853.2,120,11.16,1.83,528,25.0,173.4,1
B00625,D,night,789.8,135,13.94,1.12,"1,188",30.8,158.0,0
B00530,A,night,878.5,135,9.26,0.63,912,26.2,181.7,1
B00632,E,night,860.5,105,12.8,0.94,"1,181",20.5,177.8,1
B00743,F,night,850.5,90,13.35,1.12,760,20.6,175.2,1
B00884,B,day,888.9,150,10.31,0.53,770,24.7,179.9,1
B00102,c,night,865.5,150,16.87,1.47,979,19.9,172.8,1
B00522,E,day,821.3,120,12.55,1.28,"1,112",24.5,168.0,1
B00692,F,day,884.9,135,13.76,0.95,472,23.9,183.2,1
B00689,A,day,792.5,105,16.06,1.06,793,25.3,157.6,0
B00061,F,night,821.6,150,14.51,0.81,"1,508",23.6,169.3,0
B01147,A,day,834.0,135,14.45,N/A,"1,089",24.8,171.1,1
B01151,C,night,879.3,105,6.1,1.62,"1,192",25.1,174.7,1
B01199, A,day,894.5,105,13.88,1.69,"1,418",23.1,170.5,1
B00503,B ,day,838.4,90,11.88,1.97,171,23.5,170.5,1
B01184,D ,day,873.6,150,13.4,N/A,"1,378",22.8,176.0,1
B01035,F,day,816.1,105,12.3,1.53,929,24.8,166.7,0
B00586,D,night,805.8,120,10.6,0.41,"1,141",24.6,166.3,0
B00731,F,night,842.3,105,11.4,0.73,554,21.0,178.6,1
B00166,A,night,837.0,90,-,1.18,581,21.5,165.5,0
B00337,E,day,867.0,90,19.42,1.13,497,23.3,178.1,1
B01129,c,day,817.8,105,7.09,1.25,643,27.6,172.7,1
B00582,B,day,879.3,150,12.67,1.61,915,25.8,175.7,1
B01377,a,night,831.0,120,11.82,1.3,"1,372",26.8,170.4,1
B00452,E,day,845.8,105,12.52,1.32,899,21.9,170.8,1
B00825,F,day,853.8,120,13.8,1.88,"1,210",23.7,174.1,1
B00616,b,night,820.4,90,,1.27,"1,104",25.8,164.9,0
B01363,D,night,834.3,150,13.32,,815,21.3,173.1,1
B00267,A,day,899.0,120,7.45,1.24,645,22.3,179.8,1
B00816,A,day,866.8,90,7.03,1.22,56,23.8,182.0,1
B00958,c,night,861.3,90,10.57,1.29,684,22.7,174.2,1
B00899,B,night,820.6,105,12.92,1.22,350,22.8,169.7,1
B00141,D,night,882.4,150,11.77,0.79,483,22.2,185.5,1
B00483, E,day,845.2,135,15.09,1.1,346,24.7,176.6,1
B00332,E,night,840.5,120,11.03,0.85,"1,304",24.3,173.9,1
B00770,f,day,858.3,150,14.46,0.59,"1,020",23.2,176.1,1
B00967,A,day,864.4,135,11.81,1.11,"1,221",24.2,174.1,1
B00641,E ,day,874.3,90,9.47,1.42,711,25.3,174.4,1
B01325,f,night,825.8,135,11.78,1.46,"1,315",21.5,168.6,1
B01340,A,day,836.0,150,12.3,1.28,875,25.0,172.5,1
B01172,E ,night,823.9,150,12.74,1.29,"1,022",23.7,172.2,1
B00567,A,day,859.3,135,13.35,1.15,638,24.1,176.2,1
B01239,D ,night,881.9,120,11.11,1.25,"1,666",27.3,173.8,0
B00366,A ,day,805.9,90,-,1.29,646,21.2,164.1,0
B00590,d,day,844.9,150,12.47,1.4,319,25.4,175.3,1
B00619,E,day,877.4,120,11.48,1.56,867,20.1,174.9,1
B00779,D,day,829.2,105,13.94,0.82,585,20.6,166.7,0
B00729,D,day,811.9,120,9.75,1.11,"1,008",23.1,165.2,0
B00594,F,night,888.8,120,N/A,1.01,499,29.5,181.2,1
B01132, E,night,865.0,90,12.26,1.03,"1,007",24.3,172.7,1
B01223,E,day,882.7,150,14.29,,643,27.0,175.9,1
B00940,A,night,857.5,105,14.2,1.54,870,24.7,170.1,1
B00318,E,day,826.4,135,8.06,-,"1,142",27.2,172.7,1
B00072,C,night,832.1,105,11.54,1.69,971,23.9,168.4,1
B00023,D,day,826.0,150,8.76,1.59,"1,092",20.8,168.8,1
B01023,B,day,837.4,105,9.61,1.11,772,28.6,170.7,1
B00908,D,day,888.5,135,8.46,0.51,"1,534",26.0,175.1,0
B00757,E ,night,900.6,150,14.73,1.15,788,25.3,178.7,1
B01191,C,night,837.0,105,11.82,0.94,858,24.7,172.4,1
B01392,a,day,783.9,105,14.89,0.83,"1,525",22.9,147.8,0
B01297, B,day,833.7,120,11.46,1.71,564,21.5,167.3,0
B00614,E,day,881.2,150,9.14,0.84,"1,597",25.4,177.1,0
B00421,E,night,852.5,90,7.35,1.24,822,24.7,175.1,1
B00540,A,day,866.0,120,13.64,1.28,"1,093",27.9,175.2,1
B01204,E,night,845.8,105,8.53,1.09,383,23.7,178.0,1
B01289,A ,day,888.9,105,14.39,1.97,481,23.0,170.5,1
B01026,E,day,813.8,90,14.1,1.15,781,21.0,166.1,0
B00356,C ,day,795.6,105,14.32,0.87,340,28.1,163.6,0
B00723,B,day,864.3,135,11.78,1.55,725,22.6,176.1,1
B01141,F ,day,834.4,150,14.85,1.48,817,26.2,170.5,1
B00516,F ,day,838.2,135,15.4,0.92,728,24.3,173.6,1
B01296,C,day,857.2,135,14.8,1.24,961,28.5,172.7,1
B01208,D,night,862.1,90,10.83,1.32,626,21.4,177.2,1
B00022,E,day,871.4,90,5.93,1.55,433,23.9,179.8,1
B00603,A,day,884.9,105,12.45,1.37,457,20.5,174.8,1
B00160, A,day,852.1,105,10.69,1.07,"1,363",21.8,174.7,1
B00730,d,night,888.6,105,13.48,1.57,532,24.0,177.1,1
B01018,C,day,878.4,135,12.3,1.22,642,22.8,181.0,1
B00400,C,day,877.2,105,13.14,1.25,310,24.2,183.9,1
B00236,A,night,812.8,105,9.92,0.92,624,24.1,163.7,0
B00572,E,day,812.5,90,12.52,1.64,898,25.4,165.2,0
B00335, B,night,874.1,120,15.21,1.73,602,22.2,170.9,1
B00609, D,night,852.3,120,17.06,1.04,552,25.0,180.7,1
B01391,A,day,836.3,120,9.83,1.43,632,24.7,173.1,1
B00358, E,night,774.8,150,11.53,1.2,828,20.8,154.8,0
B01324, E,night,847.0,105,10.77,1.23,592,18.9,177.4,1
B00404,A,night,836.1,105,10.09,1.0,712,23.5,172.8,1
B01266,A,night,850.2,150,10.8,1.78,879,23.0,172.0,1
B01062,B,day,845.9,135,15.31,-,"1,105",22.2,169.8,1
B00331,D,day,834.8,135,12.34,0.85,931,22.8,173.3,1
B01355,B,night,839.6,90,14.33,0.85,558,22.5,173.4,1
B00004,F,day,862.4,90,12.68,1.37,"1,065",23.9,176.1,1
B01170,E,night,806.1,105,12.18,-,158,26.1,163.9,0
B00340,B,night,867.3,135,8.92,0.74,366,25.7,182.3,1
B00296,A ,night,804.3,120,11.97,1.16,831,27.1,163.2,0
B00665, F,night,817.0,105,8.66,N/A,871,999.0,169.2,1
B00559,D,day,820.5,150,10.14,1.8,779,26.0,169.3,1
B00012,D,night,869.4,150,8.13,1.13,591,26.5,179.8,1
B01047, F,night,828.5,120,18.32,0.9,833,21.6,174.0,1
B00201,a,day,841.2,105,13.4,0.94,480,25.0,170.1,1
B00685,B,night,897.2,135,8.35,2.51,233,23.8,177.6,1
B00598,F,day,827.5,135,13.72,N/A,929,22.5,171.4,1
B00810,C,day,842.5,90,11.35,0.54,"1,098",24.5,173.8,1
B01169,C,day,841.8,135,13.32,1.41,"1,012",24.1,172.2,1
B00487,C,night,857.8,105,10.6,1.04,433,27.6,178.3,1
B00428,C,day,816.2,150,13.92,0.91,"1,002",23.5,168.9,1
B01283,B,day,831.6,150,14.07,1.43,50,27.8,170.6,1
B00233,D,night,871.2,150,12.72,-,"1,426",25.9,177.2,1
B01000,B,day,810.3,90,10.58,0.91,362,28.0,168.0,1
B01284,b,day,897.4,90,11.3,1.39,599,25.3,175.0,1
B01021, F,night,895.2,90,12.45,1.1,"1,247",24.1,177.2,1
B01167,E,night,808.7,135,-,0.98,515,22.4,171.3,1
B00826,C ,day,857.4,120,13.81,1.67,510,22.7,177.7,1
B00118,A,day,895.6,90,15.2,1.4,9,24.3,176.5,1
B01346,F,day,856.5,90,10.58,1.67,972,24.0,173.9,1
B00076,C,night,907.8,150,12.55,1.3,56,21.3,186.6,1
B00876,F,day,855.6,150,16.44,1.33,981,24.4,174.8,1
B01155,E ,night,858.4,90,14.19,N/A,978,23.8,176.1,1
B01282,D,day,850.4,90,11.0,0.87,124,25.3,177.9,1
B00545,D,day,827.0,135,15.25,1.01,"1,231",25.1,165.1,0
B01281,C,night,799.5,135,14.08,0.41,567,20.8,164.3,0
B00525,C ,day,847.6,105,N/A,1.23,671,22.6,176.1,1
B00095,f,day,878.3,135,15.22,1.05,777,21.8,178.2,1
B00114,F,day,868.7,120,10.98,0.64,"1,065",22.9,177.3,1
B00929,D,day,874.3,90,13.68,0.91,"1,185",28.4,174.3,1
B01295,C,day,910.6,90,14.76,0.94,804,23.6,174.6,1
B00486,A,night,814.6,105,10.46,1.02,420,23.3,165.2,0
B00293, E,night,819.5,135,N/A,0.84,"1,191",24.6,170.2,1
B01161,b,day,838.6,105,11.89,0.8,678,26.2,172.3,1
B00920,F,day,882.3,150,8.7,0.92,740,23.6,183.2,1
B01114,B,night,847.3,150,11.71,0.85,772,26.7,175.6,1
B00799,B ,day,837.1,90,14.62,1.48,"1,352",19.9,163.5,0
B00053,a,night,834.1,90,11.79,N/A,755,21.4,169.6,1
B00897, F,day,797.7,135,8.38,0.64,498,23.8,164.4,0
B01255,F,night,831.7,120,12.37,0.94,"1,375",24.0,170.6,1
B01031,D,day,837.2,120,10.9,0.77,916,25.4,172.5,1
B01036,A,day,806.2,120,14.51,1.27,667,19.9,161.6,0
B00101,B,night,866.9,135,15.7,1.04,974,21.4,173.3,1
B00389, E,day,860.6,135,9.56,0.79,719,23.5,184.9,1
B00316, F,night,875.9,135,9.63,1.18,"1,005",19.5,178.7,1
B01154,F,night,804.2,105,13.15,0.86,"1,504",19.7,160.1,0
B00382,c,day,880.6,105,15.03,1.0,595,21.5,175.7,1
B01145,A,day,837.8,120,7.17,1.1,923,26.4,171.2,1
B00735,B ,night,806.5,105,11.88,0.64,263,999.0,167.0,0
B01277,E ,day,825.6,105,12.42,1.35,"1,248",24.1,167.7,0
B01229,A,night,876.8,105,-,1.11,910,24.8,176.5,1
B01005,F,night,820.0,90,14.46,1.35,623,22.6,164.1,0
B00973,B,day,844.4,105,12.92,1.63,"1,253",21.5,167.9,0
B00544,D,day,844.8,90,11.33,0.99,587,18.0,175.2,1
B01030,B,night,891.4,150,11.28,1.24,475,25.2,179.9,1
B00009,D ,day,876.6,135,12.76,1.78,817,21.2,172.9,1
B00867,C,day,873.3,150,12.03,0.96,888,23.4,179.0,1
B00077,B,day,817.4,150,16.07,1.46,465,23.1,168.7,1
B00476,F,night,840.6,135,10.38,1.53,"1,100",23.7,170.8,1
B00673,D,night,879.4,90,14.42,0.95,801,29.0,174.6,1
B01083,A,night,835.2,105,13.67,1.48,"1,171",24.0,169.5,1
B01173,a,day,858.2,105,-,-,992,23.5,177.4,1
B00078,B,day,878.5,120,14.6,0.97,931,24.2,176.0,1
B00793, B,night,848.7,105,15.51,1.46,"1,050",24.1,174.6,1
B01067,D,day,871.4,90,10.0,1.01,625,21.5,175.4,1
B00855,B,day,850.1,135,16.92,1.32,251,24.9,173.6,1
B01053,C,night,832.0,90,9.73,0.88,807,21.5,171.5,1
B01082,D,day,846.8,90,12.14,1.03,702,21.0,174.7,1
B00794,D,night,814.1,135,12.16,0.8,800,23.9,169.4,1
B00024,E,day,841.3,150,13.49,1.22,"1,243",22.4,174.2,1
B00242,F,day,887.9,150,-,1.25,"1,144",24.1,174.9,1
B00800,a,night,856.1,135,,1.2,"1,015",999.0,181.1,1
B01118,F,night,898.2,120,16.78,1.6,838,25.3,173.6,1
B00441,D,night,850.3,150,12.45,1.06,289,24.7,177.2,1
B00357,A,night,830.2,90,13.12,0.92,552,24.4,170.4,1
B01207,D ,day,821.2,135,10.2,1.33,845,22.9,168.4,1
B00771, C,day,836.2,105,8.94,0.86,"1,035",19.2,174.4,1
B01348,C,day,836.5,150,9.86,1.2,801,22.0,175.6,1
B01248,D,day,825.0,120,,1.31,994,25.3,168.3,1
B00596,C,day,881.1,150,11.47,0.41,840,23.5,185.1,1
B00975,B ,day,811.6,120,16.52,0.77,115,24.7,164.9,0
B00539,F,day,848.4,135,7.91,1.27,"1,406",19.9,176.5,1
B01254,A,day,831.8,120,7.18,0.99,692,25.5,171.4,1
B00048,A,night,875.5,135,-,1.32,604,26.4,176.9,1
B00842,c,day,893.3,90,10.9,1.1,"1,166",24.0,171.9,1
B01252,A,night,789.6,150,14.68,0.67,952,26.3,156.5,0
B00351,B,day,870.7,90,16.54,1.33,470,23.7,178.1,1
B00450,A,day,822.4,105,15.06,1.11,933,23.4,167.2,0
B01010,E,night,867.9,120,6.2,1.15,555,27.4,181.7,1
B00737, D,day,770.0,90,11.95,0.87,522,27.1,154.8,0
B00315,F,day,870.0,120,12.07,1.27,717,20.4,181.4,1
B00103,E ,night,820.2,120,8.05,1.21,326,24.6,173.2,1
B01374,F,day,894.0,150,10.68,0.7,793,26.4,179.9,1
B01257,C,day,822.8,120,,1.11,"1,143",999.0,169.1,1
B00317,F,night,850.8,90,9.53,1.15,724,23.3,175.2,1
B01384,C,day,842.7,135,15.14,1.09,880,25.4,169.6,1
B00500,B,day,839.3,105,10.95,1.33,750,27.5,170.7,1
B00865,C,night,845.7,120,13.4,0.85,"1,131",23.2,178.6,1
B00674,A,night,838.9,120,15.12,1.26,715,20.5,171.5,1
B00797,A,night,861.7,150,14.87,1.24,929,22.9,175.8,1
B00528,C,day,838.9,120,16.56,1.21,379,25.0,173.5,1
B00089,E,night,862.3,90,,1.6,598,19.2,174.7,1
B00499,a,day,796.1,135,8.24,1.32,"1,344",23.8,156.1,0
B01219,D,night,847.0,135,8.81,1.07,919,22.7,178.0,1
B00108,D,day,823.6,135,12.71,1.06,638,25.9,168.9,1
B00722,E ,day,885.7,150,13.08,1.67,974,21.2,181.0,1
B00091,d,night,879.4,135,12.28,1.75,781,24.2,174.4,1
B00401,F,day,860.9,105,10.7,0.99,752,23.1,177.9,1
B00410,C ,night,854.4,90,10.06,0.86,"1,413",25.8,177.0,1
B00917,C,night,870.0,135,6.61,1.26,"1,406",21.7,173.3,1
B01332,E,day,859.9,135,9.84,0.74,373,27.5,186.1,1
B01362,B,night,883.9,120,9.72,1.33,"1,054",27.0,173.9,1
B01016,B,day,881.7,120,,0.92,666,24.0,177.6,1
B00750,a,day,849.8,105,11.77,1.02,505,21.4,174.1,1
B00274, C,night,846.6,90,14.84,1.63,806,21.5,171.9,1
B00021,E ,day,837.4,120,14.6,1.38,"1,177",22.9,174.2,1
B01227,F,night,883.0,135,13.48,0.74,"1,424",24.9,178.6,1
B00901, F,night,873.7,120,11.17,1.19,852,25.6,179.7,1
B01197,B,night,875.0,105,12.08,0.96,604,21.7,170.6,1
B00314,F,night,837.2,135,13.01,1.65,"1,059",23.5,168.2,1
B00976,F,night,843.4,90,10.38,1.61,894,23.7,170.6,1
B01394,B,night,788.3,135,11.51,0.85,774,25.8,155.8,0
B01381,A ,day,848.4,150,12.01,1.19,"1,141",25.6,173.4,1
B01234,A,day,867.5,90,11.12,0.98,961,22.8,172.5,1
B00253,D,day,810.1,120,11.46,1.31,755,21.3,164.8,0
B00096, F,night,891.4,120,15.05,N/A,947,25.9,176.0,1
B00082,D,night,850.5,120,11.0,1.48,750,28.0,173.5,1
B01148,D,night,882.3,105,9.3,1.43,"1,086",24.7,177.1,1
B01250,D ,day,897.6,120,16.26,1.52,"1,079",24.0,171.6,1
B00169,A,night,902.2,90,-,1.01,"1,164",23.1,172.2,1
B01032,C,day,801.2,105,14.56,1.12,904,25.2,158.2,0
B00454,F,day,826.7,90,8.1,1.41,857,22.8,170.9,1
B00027,E,night,815.4,135,13.87,1.46,924,22.3,168.5,1
B00407,D ,day,844.8,120,11.6,1.86,"1,078",24.9,169.8,1
B00747,D,day,836.4,105,11.59,0.81,676,26.7,174.4,1
B00783,D,day,857.0,90,,1.23,862,21.7,175.8,1
B00711,B,day,816.9,105,-,1.12,953,22.3,168.4,1
B01144,E ,day,887.4,105,12.16,1.35,"1,137",25.4,172.5,1
B00691,A ,day,869.1,150,10.76,0.97,484,24.3,179.3,1
B00549,f,night,885.7,90,14.45,1.37,590,22.2,176.4,1
B00604,A,day,878.3,150,11.92,0.78,"1,153",29.7,178.7,1
B01331,D,night,889.3,150,9.33,1.5,"1,191",24.4,178.9,1
B00147,b,day,813.4,105,8.63,1.19,"1,511",26.0,160.7,0
B00234,B,day,832.8,90,13.18,0.48,300,25.1,175.9,1
B01370,F ,day,850.6,150,15.9,1.79,"1,531",22.3,168.3,0
B00259,D,day,870.5,90,12.62,1.66,603,23.2,175.1,1
B00385,D,night,882.8,105,,1.86,965,25.1,174.8,1
B01056,F,day,862.9,105,9.45,1.22,827,24.6,180.1,1
B00678,B,night,917.7,150,7.97,1.39,702,22.1,177.7,1
B01105,F,day,895.3,90,13.02,1.31,"1,110",25.9,176.9,1
B00384,F,day,856.8,120,15.77,1.07,954,23.5,175.8,1
B00882,F ,night,860.9,120,15.71,1.05,"1,594",23.7,176.7,0
B00657,F,night,866.9,105,14.33,0.59,"1,280",20.8,178.2,1
B00713, F,day,801.0,90,10.01,1.71,984,25.5,161.6,0
B00686,D,day,809.1,135,12.65,1.0,362,23.7,168.3,1
B01088, F,day,851.9,135,14.36,1.15,860,24.6,176.2,1
B00577,F,night,811.7,120,13.01,0.76,957,22.8,166.8,0
B00268,C,night,850.1,120,16.24,0.84,"1,268",25.6,172.9,1
B00581,A,night,859.8,135,11.23,1.63,998,23.7,174.7,1
B00571,F,day,840.6,120,7.77,0.76,551,25.1,178.9,1
B00776, D,day,897.4,90,12.47,1.21,"1,526",20.2,174.2,0
B01064,C,day,846.3,120,N/A,0.99,713,23.7,174.3,1
B00035,E ,night,827.3,150,11.03,0.7,618,26.1,178.2,1
B00211,E,day,848.6,135,11.99,1.11,"1,153",28.7,176.4,1
B01251,d,day,864.0,150,14.26,0.63,"1,263",22.5,176.7,1
B00137,E,night,819.4,105,,1.2,"1,508",23.8,166.0,0
B00923,C,day,837.6,90,8.43,0.59,599,23.9,175.1,1
B01341,E,night,864.8,150,10.83,1.9,"1,038",24.7,179.6,1
B00592,E,night,862.4,120,8.67,1.08,165,22.0,180.9,1
B00334,F,day,844.1,135,13.07,1.27,710,27.7,178.4,1
B00834,D,day,807.9,150,11.08,1.8,"1,529",26.5,162.1,0
B00818,A,night,886.7,150,5.79,1.32,460,22.0,180.2,1
B01365,A,night,882.3,150,9.16,1.44,"1,015",20.9,178.8,1
B00285,C,day,829.4,135,13.67,-,633,25.1,172.3,1
B00761,A,day,836.2,105,-,,412,24.5,172.6,1
B01279,C,day,881.4,150,9.28,2.14,388,27.2,180.7,1
B00610,d,day,876.3,120,11.29,1.78,848,23.7,173.8,1
B00419,E,day,848.3,105,15.63,0.75,"1,088",21.9,175.1,1
B00474,B,night,870.6,135,12.0,0.81,333,21.9,176.7,1
B00715,E,day,848.0,120,13.07,1.27,"1,167",24.3,172.2,1
B00216,D,day,867.9,120,8.1,1.36,895,25.6,181.7,1
B01140,C,night,826.3,150,10.26,-,"1,763",24.0,170.8,0
B00059,A ,night,819.3,90,8.75,1.48,258,21.7,165.9,0
B00271,d,night,820.4,90,14.91,-,"1,570",25.3,167.9,0
B00105,b,night,884.7,105,11.89,1.28,"1,104",24.4,173.1,1
B00811,B,day,820.6,150,11.49,0.44,555,27.2,167.9,0
B00513,f,night,864.4,120,13.03,1.39,919,18.3,176.4,1
B00044,A,day,813.6,150,10.63,1.16,949,22.6,170.4,1
B00180,b,night,860.5,135,-,1.5,"1,038",24.0,176.2,1
B00313,a,day,825.6,120,14.59,1.63,"1,055",23.9,167.7,0
B00030, C,night,860.1,150,13.0,0.92,758,24.7,180.4,1
B00839,C,night,872.5,90,12.44,1.78,771,23.7,170.0,1
B01323,F,day,839.0,120,12.68,0.91,"1,102",23.1,174.8,1
B01187,E,day,824.8,90,9.57,1.14,953,25.0,166.6,0
B00718,C ,night,880.6,135,11.9,1.49,915,21.9,177.0,1
B00478,B,day,845.2,135,8.14,,543,24.6,175.7,1
B00158,F,night,851.7,135,11.72,2.01,461,27.5,171.3,1
B00188,A,day,877.3,105,8.7,1.08,871,25.4,174.4,1
B01093,a,night,880.8,105,16.03,1.06,718,24.3,177.1,1
B01175,F,day,886.1,90,9.9,1.3,"1,264",24.3,177.0,1
B00756, C,night,794.5,105,8.65,0.9,175,19.2,163.7,0
B00782,A ,night,864.8,120,10.45,0.67,"1,018",25.7,176.4,1
B00007,F,day,851.8,105,11.61,1.57,"1,036",24.1,171.3,1
B00889,C ,night,838.4,135,9.05,1.23,"1,250",23.7,168.8,1
B00139,D,night,874.2,105,N/A,1.4,"1,250",28.2,175.0,1
B00423,E,day,859.5,120,N/A,1.06,"1,534",23.8,176.5,0
B01085,E,day,880.1,150,12.23,0.74,"1,425",23.2,178.2,1
B01262,E,night,862.2,135,12.11,1.06,597,20.9,175.7,1
B00781,E,day,885.4,135,13.13,1.4,"1,195",28.0,176.2,1
B01128,F,night,845.7,135,13.77,0.92,897,24.4,181.5,1
B01070,B,day,852.4,90,14.87,1.59,898,24.2,168.9,1
B00671,f,day,821.6,150,10.87,0.6,874,22.7,172.4,1
B00243,E,night,929.8,135,11.11,0.66,"1,052",27.4,182.6,1
B00126,E,day,806.7,105,,1.18,611,21.3,161.1,0
B00578,C ,day,847.7,135,11.68,0.84,167,26.9,177.6,1
B01211,E,day,841.8,150,13.95,0.99,212,23.7,178.7,1
B00196,C,night,885.4,90,11.06,1.23,477,19.7,179.3,1
B00260,F,night,863.4,120,8.24,1.01,"1,323",22.6,178.1,1
B01163,D,night,818.3,135,10.78,1.33,491,22.8,172.1,1
B00588,A,day,822.7,90,10.0,1.57,905,25.3,166.6,0
B00238,D,night,816.2,105,16.3,1.09,924,27.3,165.9,0
B00265,A,night,885.2,150,15.14,1.19,607,21.8,175.5,1
B00693,A,day,890.1,105,,1.15,665,20.8,176.1,1
B01049,A ,day,822.6,150,10.1,1.09,758,28.3,169.9,1
B00622,E,day,816.4,90,9.89,0.97,961,25.8,170.1,1
B01313,B,night,842.4,135,7.99,-,"1,358",23.1,169.6,1
B01202,a,day,834.6,105,9.91,1.38,"1,047",25.7,166.2,0
B00042,E,day,861.5,135,-,0.95,568,27.3,183.3,1
B01181,F ,night,903.3,150,10.48,1.03,937,20.5,179.7,1
B00495,E ,day,838.0,90,15.68,0.79,"1,363",21.8,171.6,1
B00184,f,night,838.8,150,N/A,0.73,488,27.2,176.7,1
B00520,E,day,825.3,120,10.47,1.83,447,23.3,167.9,0
B01015,B,night,897.6,105,13.73,1.69,460,21.7,172.2,1
B00506,B,night,836.7,90,12.73,1.79,"1,118",23.1,168.8,1
B00292,C,day,878.7,105,10.79,1.23,"1,053",23.3,176.4,1
B00439,D,night,890.8,105,12.15,1.39,"1,499",21.1,174.4,1
B01275,b,day,846.1,105,10.32,1.07,825,28.3,172.4,1
B01186,C,night,820.7,120,11.55,1.36,783,24.1,165.1,0
B00564,E,night,872.0,150,11.46,0.64,532,29.3,181.7,1
B00111,f,night,815.9,90,14.11,0.79,"1,080",24.3,164.6,0
B00915,F,day,859.3,150,9.37,1.16,627,25.8,184.2,1
B01110,B,night,842.0,120,11.58,0.64,851,30.3,176.0,1
B00342,E,day,854.7,105,12.27,0.7,214,22.4,183.9,1
B01054, F,day,853.3,120,15.69,1.95,835,28.5,174.2,1
B01193,B,night,812.9,150,13.26,1.38,354,22.5,167.9,0
B00430,F,day,881.5,90,12.64,0.86,534,19.3,180.0,1
B00258,F,day,814.2,120,8.0,1.65,854,18.4,169.6,1
B00637,C ,day,842.7,120,10.16,1.19,762,24.5,181.3,1
B01133,C,day,859.5,150,12.2,0.87,657,26.9,178.3,1
B00353,B,night,831.6,90,10.75,0.74,325,999.0,171.1,1
B00721,d,night,806.6,150,10.0,1.39,962,21.4,161.7,0
B00232,A,night,888.8,150,14.5,0.71,"1,176",23.6,177.3,1
B01058,E,day,805.4,150,15.39,1.81,371,24.8,166.4,0
B01156, E,day,862.6,90,-,0.99,680,27.3,175.8,1
B00425,E,day,834.1,90,13.59,1.69,"1,422",15.9,166.5,0
B01038,D,night,866.3,120,8.31,1.11,351,20.0,179.7,1
B00394,F ,day,842.9,90,12.23,1.54,655,22.9,167.9,0
B00176,C,night,831.9,150,13.29,1.45,606,23.9,173.4,1
B00266,e,night,870.1,90,10.25,1.71,"1,641",23.9,171.1,0
B00583,C ,night,812.6,135,12.01,1.48,976,22.4,162.8,0
B01387,f,night,837.4,90,12.8,1.04,696,22.9,168.4,1
B00429,F,day,862.9,135,10.95,1.07,586,22.9,179.8,1
B00262,A ,day,816.7,105,14.3,0.69,763,25.1,163.8,0
B00732,E,day,914.3,135,16.77,0.74,976,24.8,175.2,1
B00767,D,day,857.8,150,16.57,1.26,"1,291",23.6,174.1,1
B01354,F,day,835.6,90,12.59,1.07,"1,711",21.0,167.5,0
B01400,C,day,835.5,120,12.97,1.81,578,25.6,170.9,1
B00269,C,day,787.4,135,9.66,,869,27.3,158.7,0
B01059,F,night,845.3,105,9.55,1.17,373,21.7,175.6,1
B00648,F,day,807.9,90,13.95,1.25,"1,344",21.6,162.7,0
B00473,F,night,888.4,135,12.19,1.19,594,29.7,180.6,1
B00467,e,day,910.1,150,-,1.58,784,25.4,177.6,1
B00214,A,day,843.2,150,12.7,1.34,677,27.1,173.1,1
B01271,c,day,837.4,135,11.53,1.83,901,21.3,170.0,1
B00200,F ,day,847.4,90,13.23,1.76,943,24.6,168.7,1
B00033,d,night,837.3,135,12.25,1.1,628,25.2,177.0,1
B00172,C,day,888.0,150,12.3,1.77,"1,101",23.5,180.2,1
B00903,d,night,820.4,120,11.67,1.72,931,27.1,167.1,0
B01336,B,night,827.4,120,8.96,0.61,767,26.7,166.3,0
B01386,E,day,896.7,105,12.29,0.75,723,25.1,181.8,1
B00058,E,day,845.0,135,9.12,0.62,263,22.3,181.0,1
B00702,D,day,867.5,150,11.88,1.01,586,22.6,176.9,1
B00944,E,day,833.9,150,13.87,0.45,859,24.8,174.2,1
B00263,E,night,847.2,135,11.99,1.26,"1,101",24.3,176.6,1
B00996,F,day,848.9,135,-,1.49,"1,018",24.2,175.4,1
